:START_ID|:END_ID|:TYPE
nm0819711|tt0345950|WROTE
nm0238757|tt0345950|WROTE
nm0384722|tt0345950|WROTE
nm0651692|tt0345950|WROTE
nm1291916|tt0346039|WROTE
nm1168510|tt0347149|WROTE
nm1145539|tt0347304|WROTE
nm0424103|tt0347304|WROTE
nm1847952|tt0349166|WROTE
nm1343803|tt0350258|WROTE
nm0391132|tt0352248|WROTE
nm0326040|tt0352248|WROTE
nm0161410|tt0352410|WROTE
nm0286163|tt0352410|WROTE
nm1323286|tt0353969|WROTE
nm1646563|tt0353969|WROTE
nm0672769|tt0355702|WROTE
nm0143599|tt0358273|WROTE
nm0219456|tt0358273|WROTE
nm1789517|tt0358273|WROTE
nm0175726|tt0359950|WROTE
nm0862122|tt0359950|WROTE
nm1393443|tt0360486|WROTE
nm1212017|tt0360486|WROTE
nm0110778|tt0360486|WROTE
nm0135141|tt0360486|WROTE
nm0909638|tt0360717|WROTE
nm0101991|tt0360717|WROTE
nm0178260|tt0360717|WROTE
nm0908624|tt0360717|WROTE
nm0466925|tt0361862|WROTE
nm0629272|tt0362227|WROTE
nm0315065|tt0362227|WROTE
nm0622288|tt0362227|WROTE
nm0000876|tt0362270|WROTE
nm0251536|tt0363163|WROTE
nm0275264|tt0363163|WROTE
nm0432622|tt0363163|WROTE
nm0612199|tt0363163|WROTE
nm0001681|tt0363547|WROTE
nm0348181|tt0363547|WROTE
nm1369364|tt0364569|WROTE
nm1628380|tt0364569|WROTE
nm2057405|tt0364569|WROTE
nm3820072|tt0364569|WROTE
nm1367409|tt0364569|WROTE
nm0272401|tt0365130|WROTE
nm0189596|tt0365130|WROTE
nm0562707|tt0365130|WROTE
nm1375358|tt0366551|WROTE
nm1376383|tt0366551|WROTE
nm1789514|tt0366627|WROTE
nm0733692|tt0366627|WROTE
nm1127653|tt0366627|WROTE
nm3392919|tt0367110|WROTE
nm1351784|tt0367110|WROTE
nm1343477|tt0367110|WROTE
nm1342923|tt0367110|WROTE
nm1004422|tt0367110|WROTE
nm0406334|tt0367501|WROTE
nm1437277|tt0368909|WROTE
nm1847965|tt0368909|WROTE
nm0064181|tt0369339|WROTE
nm0415425|tt0369610|WROTE
nm0798646|tt0369610|WROTE
nm2081046|tt0369610|WROTE
nm0000341|tt0369610|WROTE
nm0317834|tt0369702|WROTE
nm1721077|tt0370986|WROTE
nm0498278|tt0371746|WROTE
nm1318843|tt0371746|WROTE
nm1319757|tt0371746|WROTE
nm1436466|tt0371746|WROTE
nm0391344|tt0371746|WROTE
nm0524924|tt0372183|WROTE
nm0006904|tt0372183|WROTE
nm0103702|tt0372588|WROTE
nm0004170|tt0372784|WROTE
nm0333060|tt0372784|WROTE
nm0152145|tt0372824|WROTE
nm0923941|tt0372824|WROTE
nm0637660|tt0372824|WROTE
nm0519969|tt0372824|WROTE
nm0874683|tt0373074|WROTE
nm0403230|tt0373074|WROTE
nm0151013|tt0373074|WROTE
nm0356539|tt0373469|WROTE
nm0325533|tt0373889|WROTE
nm0746830|tt0373889|WROTE
nm0006765|tt0374887|WROTE
nm1557876|tt0374887|WROTE
nm1063072|tt0374887|WROTE
nm0681914|tt0375063|WROTE
nm0852591|tt0375063|WROTE
nm0329645|tt0375662|WROTE
nm0604263|tt0375679|WROTE
nm1129753|tt0375912|WROTE
nm0544999|tt0376541|WROTE
nm1577281|tt0377092|WROTE
nm0569568|tt0377184|WROTE
nm0001276|tt0377972|WROTE
nm0001246|tt0379725|WROTE
nm1707307|tt0379725|WROTE
nm0701031|tt0381061|WROTE
nm0905498|tt0381061|WROTE
nm0353673|tt0381061|WROTE
nm0001220|tt0381061|WROTE
nm0604948|tt0381131|WROTE
nm0622537|tt0381131|WROTE
nm0471811|tt0381681|WROTE
